record_id,final_decision
2-s2.0-85126323405,INCLUDE
2-s2.0-105042035923,INCLUDE
2-s2.0-85215104702,EC5
2-s2.0-105003376316,INCLUDE
SD292,INCLUDE
2-s2.0-85140308692,INCLUDE
2-s2.0-85015744326,INCLUDE
2-s2.0-105005722862,REVIEW
2-s2.0-105019179006,REVIEW
2-s2.0-105029733479,INCLUDE
2-s2.0-105018854308,INCLUDE
CR47,EC5
2-s2.0-105022459361,REVIEW
SD78,EC5
2-s2.0-105018068886,INCLUDE
2-s2.0-85112862559,INCLUDE
2-s2.0-85205243487,INCLUDE
2-s2.0-85208988908,INCLUDE
2-s2.0-105029223856,EC5
2-s2.0-85191297543,INCLUDE
2-s2.0-85217662054,INCLUDE
2-s2.0-105028496915,REVIEW
2-s2.0-105023209892,INCLUDE
2-s2.0-105002006661,EC2
2-s2.0-85186495382,INCLUDE
2-s2.0-105041120963,EC5
CR53,EC1-venue-quality
2-s2.0-85200995011,EC5
2-s2.0-85186674673,INCLUDE
2-s2.0-85190075389,EC1
2-s2.0-85153566619,EC4
2-s2.0-105022433194,EC2
2-s2.0-85210552824,EC2
2-s2.0-105017121881,REVIEW
2-s2.0-85151498154,EC5
SD155,EC2
2-s2.0-85217931657,REVIEW
2-s2.0-85219415354,EC2
2-s2.0-105035647078,INCLUDE
2-s2.0-105042950808,EC2
2-s2.0-105037115322,INCLUDE
2-s2.0-85207693464,INCLUDE
CR12,EC1-venue-quality
2-s2.0-105043563649,REVIEW
SD316,EC5
2-s2.0-105045467259,REVIEW
2-s2.0-105014473705,INCLUDE
2-s2.0-105046216750,REVIEW
SD99,EC2
2-s2.0-85097015376,INCLUDE
2-s2.0-105035018795,EC5
SD44,EC2
2-s2.0-105044305183,INCLUDE
2-s2.0-105026281077,INCLUDE
2-s2.0-105037073940,INCLUDE
2-s2.0-85208480278,EC2
2-s2.0-85131601798,REVIEW
