id|source|year|venue|title|decision
SD1|ScienceDirect|2025|Engineering Applications of Artificial Intelligence|Artificial intelligence-driven models for predicting mechanical properties of low-emission microwave-cured geopolymer mortar|INCLUDE
SD2|ScienceDirect|2023|Journal of Building Engineering|Optimization design for alkali-activated slag-fly ash geopolymer concrete based on artificial intelligence considering compressive strength, cost, and carbon emission|INCLUDE
SD3|ScienceDirect|2024|CMES - Computer Modeling in Engineering and Sciences|Artificial Intelligence Prediction of One-Part Geopolymer Compressive Strength for Sustainable Concrete|INCLUDE
SD4|ScienceDirect|2025|Proceedings ICE - Ground Improvement|Leveraging ML for predicting UCS of soil stabilised with one-part alkali-activated binder|INCLUDE
SD5|ScienceDirect|2024|Results in Engineering|Eco-friendly mix design of slag-ash-based geopolymer concrete using explainable deep learning|INCLUDE
SD6|ScienceDirect|2026|Journal of Building Engineering|A review on the engineering performance and durability of geopolymer concrete under extreme conditions|CONTEXT-REVIEW
SD7|ScienceDirect|2024|Construction and Building Materials|A systematic literature review of AI-based prediction methods for self-compacting, geopolymer, and other eco-friendly concrete types|CONTEXT-REVIEW
SD8|ScienceDirect|2025|Results in Engineering|Prediction of compressive strength of fly ash-based geopolymers concrete based on machine learning|INCLUDE
SD9|ScienceDirect|2026|Case Studies in Construction Materials|Computational insights into drying shrinkage: A machine learning framework for alkali-activated materials|INCLUDE
SD10|ScienceDirect|2026|Developments in the Built Environment|Data-driven prediction of strength development of alkali-activated concrete with uncertainty quantification using interpretable amortised Gaussian process|INCLUDE
SD11|ScienceDirect|2026|Engineering Applications of Artificial Intelligence|Data-driven design of solid-waste-based alkali-activated material via data augmentation, performance prediction, and virtual screening|INCLUDE
SD12|ScienceDirect|2026|Results in Engineering|Attention-based hybrid deep learning framework for modelling the compressive strength of ultra-high-performance geopolymer concrete|INCLUDE
SD13|ScienceDirect|2025|Construction and Building Materials|Alkali activation effect on geopolymer cementitious systems: Microstructural evolution study and GA-BP neural network-based strength simulation|INCLUDE
SD14|ScienceDirect|2019|Measurement|The use of machine learning in boron-based geopolymers: Function approximation of compressive strength by ANN and GP|INCLUDE
SD15|ScienceDirect|2024|Construction and Building Materials|Evaluation and prediction of slag-based geopolymer's compressive strength using DOE approach and ANN algorithms|INCLUDE
SD16|ScienceDirect|2022|Construction and Building Materials|Prediction of compressive strength of alkali-activated construction demolition waste geopolymers using ensemble machine learning|INCLUDE
SD17|ScienceDirect|2025|Developments in the Built Environment|Compressive strength prediction of fly ash/slag-based geopolymer concrete using EBA-optimised chemistry-informed interpretable deep learning model|INCLUDE
SD18|ScienceDirect|2025|Case Studies in Construction Materials|Machine learning-based prediction of carbonation depth in alkali-activated materials: Integrating physics knowledge and data augmentation|INCLUDE
SD19|ScienceDirect|2025|Construction and Building Materials|Effects of mix design parameters on workability and compressive strength of teff straw ash-based geopolymer mortars: Experimental evaluation and machine learning prediction|INCLUDE
SD20|ScienceDirect|2024|Journal of Building Engineering|Integrating data imputation and augmentation with interpretable machine learning for efficient strength prediction of fly ash-based alkali-activated concretes|INCLUDE
SD21|ScienceDirect|2025|Construction and Building Materials|Research on predicting the compressive strength of soda residue-based alkali-activated materials under various curing conditions using machine learning approaches|INCLUDE
SD22|ScienceDirect|2023|Journal of Materials Research and Technology|Machine learning interpretable-prediction models to evaluate the slump and strength of fly ash-based geopolymer|INCLUDE
SD23|ScienceDirect|2026|Journal of Building Engineering|Utilization of recycled concrete powder and waste glass powder for improving the dry-wet cycle performance of alkali-activated slag|EXCLUDE-EC3
SD24|ScienceDirect|2024|CMES - Computer Modeling in Engineering and Sciences|Prediction of Geopolymer Concrete Compressive Strength Using Convolutional Neural Networks|INCLUDE
SD25|ScienceDirect|2025|Engineering Applications of Artificial Intelligence|Exploratory literature review and scientometric analysis of artificial intelligence applied to geopolymeric materials|CONTEXT-REVIEW
SD26|ScienceDirect|2026|Green and Smart Mining Engineering|Towards eco-friendly mining: Alkali-activated materials from mine waste for pollution mitigation|CONTEXT-REVIEW
SD27|ScienceDirect|2025|Journal of Building Engineering|Physics-informed neural network approach for identifying free chloride diffusion coefficient in alkali-activated mortars|INCLUDE
SD28|ScienceDirect|2024|Construction and Building Materials|Alkali-activated binder concrete strength prediction using hybrid-deep learning along with shapely additive explanations and uncertainty analysis|INCLUDE
SD29|ScienceDirect|2024|Results in Engineering|Exploring the rheological and mechanical properties of alkali activated mortar incorporating waste foundry sand: experimental and machine learning investigation|INCLUDE
SD30|ScienceDirect|2023|Journal of Building Engineering|Prediction and optimization model of sustainable concrete properties using machine learning, deep learning and swarm intelligence: A review|CONTEXT-REVIEW
SD31|ScienceDirect|2025|Case Studies in Construction Materials|Next-generation cutting-edge hybrid AI frameworks for predicting rheological properties and CO2 emissions in alkali-activated concrete|INCLUDE
SD32|ScienceDirect|2025|Cleaner Waste Systems|Green optimization of vapour-cured geopolymer mortars: Predicting cost, mechanical properties, and environmental impact with artificial neural networks|INCLUDE
SD33|ScienceDirect|2024|Materials Today Communications|Computational intelligence for modeling the rheological properties of the developed hydrated lime-based alkali-activated materials|INCLUDE
SD34|ScienceDirect|2023|Construction and Building Materials|Prediction & optimization of alkali-activated concrete based on the random forest machine learning algorithm|INCLUDE
SD35|ScienceDirect|2022|Measurement|Fly ash-based geopolymer concrete's compressive strength estimation by applying artificial intelligence methods|INCLUDE
SD36|ScienceDirect|2024|Journal of Building Engineering|Mix design strategy and optimization considering characteristic evaluation of geopolymer concrete|INCLUDE
SD37|ScienceDirect|2026|Journal of Environmental Chemical Engineering|Multidimensional correlation analysis between the components of solid waste and strength of geopolymer based on statistics and machine learning|INCLUDE
SD38|ScienceDirect|2025|Journal of the Indian Chemical Society|Predicting compressive strength of fly ash and sugarcane bagasse ash-based geopolymer concrete using statistical techniques|EXCLUDE-EC3
SD39|ScienceDirect|2025|Geotechnique Letters|A data-driven method for prediction and design of biomass ash alkali-activated materials|INCLUDE
SD40|ScienceDirect|2020|Construction and Building Materials|Analyzing the compressive strength of green fly ash based geopolymer concrete using experiment and machine learning approaches|INCLUDE
SD41|ScienceDirect|2026|Journal of Building Engineering|Predicting compressive strength of red mud-based geopolymers via machine learning: Insights from experimental validation|INCLUDE
SD42|ScienceDirect|2023|Journal of Rock Mechanics and Geotechnical Engineering|A machine learning model to predict unconfined compressive strength of alkali-activated slag-based cemented paste backfill|INCLUDE
SD43|ScienceDirect|2025|Materials Today Communications|Machine learning-based optimization of geopolymer-stabilized soil formulation using blast furnace slag and fly ash|INCLUDE
SD44|ScienceDirect|2026|Results in Engineering|Optimization of cleaner masonry blocks: Response surface methodology and genetic algorithm integrated neural networks in the applications of slag and waste sand|EXCLUDE-EC2
SD45|ScienceDirect|2022|Materials Today: Proceedings|A comparative study of normal and self-compacting geopolymer mortar and its strength prediction using tensor flow approach|EXCLUDE-EC4
SD46|ScienceDirect|2021|Cement and Concrete Composites|Predicting shrinkage of alkali-activated blast furnace-fly ash mortars using artificial neural network (ANN)|INCLUDE
SD47|ScienceDirect|2023|Construction and Building Materials|Artificial intelligence-based optimized models for predicting the slump and compressive strength of sustainable alkali-derived concrete|INCLUDE
SD48|ScienceDirect|2023|Journal of Building Engineering|Mix design optimization for fly ash-based geopolymer with mechanical, environmental, and economic objectives using soft computing technology|INCLUDE
SD49|ScienceDirect|2021|Construction and Building Materials|Regularized multivariate polynomial regression analysis of the compressive strength of slag-metakaolin geopolymer pastes based on experimental data|EXCLUDE-EC3
SD50|ScienceDirect|2024|Ultrasonics|Data-driven based ultrasonics analysis for evaluating the bond strength of concrete layers|EXCLUDE-EC2
SD51|ScienceDirect|2025|Waste Management|Novel insight into the heavy metal immobilization by coal fly ash-based geopolymers using machine learning and density functional theory|INCLUDE
SD52|ScienceDirect|2025|Journal of Building Engineering|Performance optimization of alkali-activated low-calcium fly ash geopolymers: Experimental study and machine learning modeling|INCLUDE
SD53|ScienceDirect|2022|Case Studies in Construction Materials|Prediction of the drying shrinkage of alkali-activated materials using artificial neural networks|INCLUDE
SD54|ScienceDirect|2025|Cleaner Materials|A reactive-phase-driven predictive model for compressive strength of solid waste-based alkali-activated materials|INCLUDE
SD55|ScienceDirect|2023|Heliyon|Prediction of geopolymer pumpability and setting time for well zonal isolation - Using machine learning and statistical based models|INCLUDE
SD56|ScienceDirect|2023|Journal of Building Engineering|Development of autogenous shrinkage prediction model of alkali-activated slag-fly ash geopolymer based on machine learning|INCLUDE
SD57|ScienceDirect|2023|Construction and Building Materials|A comparative study of prediction models for alkali-activated materials to promote quick and economical adaptability in the building sector|INCLUDE
SD58|ScienceDirect|2022|Journal of Cleaner Production|Development of machine learning models for the prediction of the compressive strength of calcium-based geopolymers|INCLUDE
SD59|ScienceDirect|2025|Cleaner Engineering and Technology|Multivariate predictive modeling of compressive strength in GGBS/fly ash-based alkali-activated concrete|INCLUDE
SD60|ScienceDirect|2023|Construction and Building Materials|Prediction of compressive strength and feature importance analysis of solid waste alkali-activated cementitious materials based on machine learning|INCLUDE
SD61|ScienceDirect|2026|Journal of Building Engineering|Data-driven performance regulation of MgO-K2HPO4-SiO2 cement mortar based on a self-constructed experimental database|EXCLUDE-EC2
SD62|ScienceDirect|2022|Construction and Building Materials|Crack fractal analysis of fractured polyethylene fiber reinforced alkali activated mortar under flexural load|EXCLUDE-EC3
SD63|ScienceDirect|2026|Inorganic Chemistry Communications|Geopolymer-based catalyst for sustainable biodiesel production: A review|EXCLUDE-EC5
SD64|ScienceDirect|2025|Construction and Building Materials|Investigation of eggshell powder addition on the performance of expansive road subgrade stabilized with alkali-activated corn cob ash|EXCLUDE-EC3
SD65|ScienceDirect|2020|Ceramics International|Mechanical properties and prediction of fracture parameters of geopolymer/alkali-activated mortar modified with PVA fiber and nano-SiO2|INCLUDE
SD66|ScienceDirect|2026|Advances in Engineering Software|Explainable artificial intelligence framework for predicting and minimizing CO2 emissions in GGBFS-geopolymer concrete|INCLUDE
SD67|ScienceDirect|2025|Engineering Applications of Artificial Intelligence|Chemically-Guided extreme gradient boosting models for predicting the elastic modulus of alkali-activated Concrete|INCLUDE
SD68|ScienceDirect|2023|Construction and Building Materials|Artificial intelligence-based prediction of strengths of slag-ash-based geopolymer concrete using deep neural networks|INCLUDE
SD69|ScienceDirect|2025|Proceedings ICE - Structures and Buildings|Optimising sustainable alkali-activated mortar: experimental work and machine learning predictions|INCLUDE
SD70|ScienceDirect|2026|Acta Astronautica|Predicting lunar regolith simulant geopolymer compressive strength via machine learning|INCLUDE
SD71|ScienceDirect|2025|Materials Today Sustainability|Machine learning and sustainable geopolymer materials: A systematic review|CONTEXT-REVIEW
SD72|ScienceDirect|2026|Structures|Prediction of mechanical strength and performance of alkali-activated binders concrete using optimized machine learning with partial dependence plot|INCLUDE
SD73|ScienceDirect|2026|Construction and Building Materials|Mechanistic insights into the rheology of recycled concrete powder based geopolymer using SHAP-integrated machine learning|INCLUDE
SD74|ScienceDirect|2025|Open Ceramics|Systematic data-driven meta-analysis of class F fly-ash geopolymer concrete|INCLUDE
SD75|ScienceDirect|2026|Ceramics International|Understanding the Behavior of Traditional Ceramics Waste Under Alkali Activation: Process, Thermal, and Mineralogical Effects|EXCLUDE-EC3
