sample_id,record_id,doi,year,venue,title,abstract,M_material_system,T_primary_task,P_physics_type_I_to_V,E_env_function,D_deployment_stage,SC_explainability_YN,SC_uncertainty_YN,SC_calibration_YN,SC_robustness_YN,SC_OOD_or_transfer_YN,SC_external_validation_YN,SC_physical_consistency_YN,SC_reproducibility_YN,notes
RC01,2-s2.0-85130320551,10.3390/ma15103443,2022,Materials,Artificial Neural Network with a Cross-Validation Technique to Predict the Material Design of Eco-Friendly Engineered Geopolymer Composites,"A material-tailored special concrete composite that uses a synthetic fiber to make the concrete ductile and imposes strain-hardening characteristics with eco-friendly ingredients is known as an “engineered geopolymer composite (EGC)”. Mix design of special concrete is always tedious, particularly without standards. Researchers used several artificial intelligence tools to analyze and design the special concrete. This paper attempts to design the material EGC through an artificial neural network with a cross-validation technique to achieve the desired compressive and tensile strength. A database was formulated with seven mix-design influencing factors collected from the literature. The five best artificial neural network (ANN) models were trained and analyzed. A gradient descent momentum and adaptive learning rate backpropagation (GDX)–based ANN was developed to cross-validate those five best models. Upon regression analysis, ANN [2:16:16:7] model performed best, with 74% accuracy, whereas ANN [2:16:25:7] performed best in cross-validation, with 80% accuracy. The best individual outputs were “tacked-together” from the best five ANN models and were also analyzed, achieving accuracy up to 88%. It is suggested that when these seven mix-design influencing factors are involved, then ANN [2:16: 25:7] can be used to predict the mix which can be cross-verified with GDX-ANN [7:14:2] to ensure accuracy and, due to the few mix trials required, help design the SHGC with lower costs, less time, and fewer materials. © 2022 by the authors. Li-censee MDPI, Basel, Switzerland.",mixed/other-AAM,inverse-design,I,none-explicit,lab-prediction,N,N,N,N,N,N,N,N,ANN [2:16:25:7] maps desired strengths->7 mix factors = inverse design; forward GDX-ANN [7:14:2] used to cross-check. Cost benefit claimed but not quantified.
RC02,2-s2.0-105019264834,10.1016/j.hybadv.2025.100569,2025,Hybrid Advances,Sustainable geopolymer concrete evaluation using machine learning and PDP analysis: Comparative insights into strength prediction,"The imperative to mitigate the carbon emissions associated with cement production has accelerated the development of geopolymer concrete (GPC) as a sustainable alternative to Ordinary Portland Cement (OPC). This study benchmarks widely used machine learning models (DT, RF, ANN, and LR) for predicting the compressive strength of geopolymer concrete (GPC) and integrates Partial Dependence Plot (PDP) analysis to connect predictions with binder chemistry and curing dynamics. A dataset comprising 400 experimental samples was compiled, incorporating six critical variables: coarse aggregate, fine aggregate, ground granulated blast-furnace slag (GGBS), sodium silicate, superplasticizer, and curing temperature. Four ML algorithms Decision Tree (DT), Random Forest (RF), Artificial Neural Network (ANN), and Linear Regression (LR) were systematically evaluated. The models were trained and tested on 70/30 ratio, with performance assessed using the coefficient of determination (R2), root mean square error (RMSE), mean absolute error (MAE), and mean absolute percentage error (MAPE). The results indicated that DT outperformed all models, achieving R2 = 0.97 (training) and 0.94 (testing) with minimal errors (RMSE = 1.85–2.45 MPa, MAE = 1.20–1.70 MPa, MAPE = 0.058–0.118). RF also demonstrated high reliability, R2 = 0.94, whereas ANN exhibited moderate predictive capacity (R2 = 0.91-0.89) but was prone to overfitting. LR consistently underperformed (R2 = 0.88-0.85), reflecting its limitations in capturing the nonlinearities. Partial Dependence Plot (PDP) analysis confirmed that GGBS (Δ = 55 MPa) and curing temperature (Δ = 23 MPa) were the most influential factors, followed by sodium silicate and superplasticizer, whereas excess aggregates reduced CS. This study highlights the practical advantages of tree-based models in AI-driven mix optimization which provides an interpretable and robust framework for sustainable GPC design, thereby promoting the adoption of low-carbon binders in structural applications. © 2025 The Authors",slag,prediction,I,none-explicit,lab-prediction,Y,N,N,N,N,N,N,N,"PDP+feature ranking = explainability. GGBS only named precursor. 'robust/interpretable framework' is rhetorical, no perturbation test."
RC03,2-s2.0-85200111883,10.1016/j.conbuildmat.2024.137509,2024,Construction and Building Materials,Predicting the compressive strength of engineered geopolymer composites using automated machine learning,"Engineered Geopolymer Composites (EGC) offer a sustainable and high-performance alternative to traditional concrete and Engineered Cementitious Composites, boasting reduced environmental impact and enhanced mechanical properties. However, optimising EGC mix design for specific applications requires an accurate prediction of its compressive strength. This study investigates the application of Automated Machine Learning using the PyCaret library to develop reliable predictive models for EGC compressive strength. A comprehensive experimental program was conducted, testing 132 EGC specimens with varying mix design parameters, including binder ratio, silica fume content, activator ratio, water content, superplasticizer dosage, and curing method. The collected data was used to train and evaluate twenty different machine learning models. Model performance was assessed using various metrics. The top six models were shortlisted and optimised using Random Search algorithm. The models were assessed through a detailed analysis of their residual plots and learning curves. Additionally, Feature importance and SHAP analysis were employed to understand the influence of each input parameter on the predicted compressive strength. The results demonstrate the effectiveness of AML in accurately predicting EGC compressive strength, with the Gradient Boosting Regressor and CatBoost Regressor models exhibiting superior performance, achieving Mean Absolute Error (MAE) below 1.2 MPa and R² exceeding 0.96. The study highlights the potential of AML as a valuable tool for optimising EGC mix design and promoting the wider adoption of this sustainable construction material. © 2024",mixed/other-AAM,prediction,I,none-explicit,lab-prediction,Y,N,N,N,N,N,N,N,"Precursor not named (binder ratio + silica fume only). Residual plots/learning curves are diagnostics, not robustness tests."
RC04,2-s2.0-85164505679,10.1007/s42107-023-00807-x,2024,Asian Journal of Civil Engineering,Feature engineering for predicting compressive strength of high-strength concrete with machine learning models,"High-performance concrete finds extensive application in a diverse range of civil engineering structures, such as towering buildings, swift roadways, sea-spanning bridges, dams, and marine constructions. Anticipating the compressive strength of concrete poses significant challenges due to its inherent complexity. However, this study successfully utilized machine learning approaches to accurately predict the compressive strength of high-strength concrete. Through experimental programs, the researchers gathered 100 data points, enabling a comprehensive evaluation of the model's predictive capabilities across various strength parameters. The constructed models exhibited precise predictions of the compressive strength of geopolymer concrete, as evidenced by the high R 2 value and low root-mean-square error value. © 2023, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",mixed/other-AAM,prediction,I,none-explicit,lab-prediction,N,N,N,N,N,N,N,N,"Title says high-strength concrete, abstract says geopolymer concrete - internally inconsistent. Very thin abstract; no precursor, no model named."
RC05,2-s2.0-85140472829,10.1016/j.conbuildmat.2022.129518,2022,Construction and Building Materials,Determination of compressive strength of perlite-containing slag-based geopolymers and its prediction using artificial neural network and regression-based methods,"This study has two main objectives: (i) to investigate the parameters affecting the compressive strength (CS) of perlite-containing slag-based geopolymers and (ii) to predict the CS values obtained from experimental studies. In this regard, 540 cubic geopolymer samples incorporating different raw perlite powder (RPP) replacement ratios, different sodium hydroxide (NaOH) molarity, different curing time, and different curing temperatures for a total of 180 mixture groups were produced and their CS results were experimentally determined. Then conventional regression analysis (CRA), multivariate adaptive regression splines (MARS), and TreeNet methods, as well as artificial neural network (ANN) methods, were used to predict the CS results of geopolymers using this experimentally obtained data set. Root mean square error (RMSE), mean absolute error (MAE), scatter index (SI) and Nash-Sutcliffe (NS) performance statistics were used to evaluate the CS prediction capabilities of the methods. As a result, it was determined that the optimum molarity, curing time, and curing temperature were 14 M, 24 h, and 110 ℃, respectively and 48 h of heat curing did not have a significant effect on increasing the CS of the geopolymers. The highest performances in regression-based models were obtained from the MARS method. However, the ANN method showed higher prediction performance than the regression-based methods. Considering the RMSE values, it was seen that the ANN method made improvements by 24.7, 2.1, and 13.7 %, respectively, compared to the MARS method for training, validation, and test sets. © 2022 Elsevier Ltd",slag,prediction,I,none-explicit,lab-prediction,N,N,N,N,N,N,N,N,Perlite powder replacement in slag-based GP. NaOH molarity treated as mix parameter (type I) not oxide chemistry - see coding convention note.
RC06,2-s2.0-105039856041,10.1007/s40996-026-02191-3,2026,Iranian Journal of Science and Technology - Transactions of Civil Engineering,Time-Dependent Durability Indicators and Physics-Informed Predictive Modelling of Engineered Geopolymer Aggregates,"In this research, manufactured geopolymer coarse aggregates using cut-blade mechanisms have been assessed based on transport and chemical degradation durability indicators, using physics-informed machine learning models for prediction. The aggregates are first cured in an oven at 600 c for 48 h to achieve proper geo-polymerisation and then cured in hot water for 28–90 days. Extensive preliminary trials were conducted to determine the optimal molarity of the alkali activator, as the concentration of NaOH significantly influences geopolymer gel formation and the stability of the final aggregate. After finalising the suitable molarity and activator ratio, the glass powder content was varied from 0% to 20% to examine its individual influence on durability. The results show that the FA80GP20 mix is having the best performance, with porosity reduced to about 9.85–10.1%, water absorption to 4.63–4.8%, and sulphate mass loss to 1.65–1.70%, compared to the control FA100 mix which showed porosity of 15.8–16.5%, water absorption of 8.0–8.5%, and mass loss of 3.8–4.0%. This improvement of approximately 35–40% in durability-related properties. To assess long-term behaviour, a Physics-Informed Machine Learning (PIML) model was developed by combining experimental data with established material relationships and comparing the results with a simple machine learning model. The PIML model achieved high predictive accuracy (R² = 0.94) while maintaining physical consistency, with a deviation of less than 2.1% from expected material trends. SHAP analysis showed that porosity, glass powder content, and activator ratio were the most influential features controlling durability. The findings demonstrate that integrating durability experiments with physics-guided machine learning offers a dependable framework for designing high-performance geopolymer aggregates, particularly for time-dependent durability indicators. © The Author(s), under exclusive licence to Shiraz University 2026.",fly-ash,prediction,III,durability;waste-valorization,lab-prediction,Y,N,N,N,N,N,Y,N,"Authors label it PIML but abstract only demonstrates 'combining experimental data with established material relationships' -> III not IV per 'code what is demonstrated'. Durability quantified (porosity, absorption, sulphate loss); waste glass powder content quantified."
RC07,2-s2.0-85214256862,10.1016/j.conbuildmat.2024.139746,2025,Construction and Building Materials,Transfer learning framework for modelling the compressive strength of ultra-high performance geopolymer concrete,"Ultra-high performance geopolymer concrete (UHPGC) presents a sustainable alternative to traditional ultra-high performance concrete (UHPC). Accurate prediction of UHPGC compressive strength is crucial for its wider adoption in both industry and academia. However, the complex interplay of factors influencing UHPGC compressive strength, coupled with limited available data, makes this task challenging. Therefore, this study aims to establish a transfer learning (TL) framework for UHPGC compressive strength prediction. This work explored the ability of TL to leverage the knowledge acquired from normal-strength geopolymer concrete datasets to develop models for predicting the compressive strength of UHPGC. The results demonstrate that TL models (transferred Convolutional Neural Network (transferred CNN), transferred Tabnet, and Two-stage TrAdaboost.R2) outperform traditional machine learning (ML) models (CNN, Tabnet, Adaboost.R2), with the corresponding R-square score of 0.93, 0.93, and 0.94 (for the TL models) and 0.86, 0.89, and 0.90 (for the traditional ML models). Additionally, TL models exhibit 10%–30% lower RMSE than their traditional counterparts. Furthermore, the findings indicate that a minimum of 40 data samples in the target domain is necessary for reliable predictions. In conclusion, the study captures the effectiveness of the TL approach in overcoming data scarcity and the robustness of TL models to variations of features in the target domain. This research highlights the potential of knowledge transfer from well-researched geopolymers to develop predictive models for specialised geopolymer types with limited data. © 2024 Elsevier Ltd",mixed/other-AAM,prediction,I,none-explicit,lab-prediction,N,N,N,Y,Y,Y,N,N,"Transfer learning normal-strength GPC -> UHPGC. Robustness to target-domain feature variation explicitly claimed; target data independent of source training data -> external_validation Y (borderline, flag for adjudication)."
RC08,2-s2.0-86000288956,10.32526/ennrj/23/20240170,2025,Environment and Natural Resources Journal,Performance and Heavy Metal Leaching Behavior of Bituminous Fly Ash-Based Geopolymer in Aggressive Environments,"This article investigates the performance of a geopolymer synthesized from bituminous fly ash (BFA) activated with sodium hydroxide. The BFA-based geopolymer (BFAG) exhibited high mechanical strength and a densified microstructure. The optimal SiO2/Al2O3 and Na2O/SiO2 molar ratios were found to be 3:1 and 0.2, respectively, yielding a 28-day compressive strength of 9.65 MPa. The inclusion of 30wt.% of a PS material containing heavy metals led to a substantial reduction in strength by 56% and 73% compared to samples with the SiO2/Al2O3 molar ratio of 2:1 and 3:1, respectively, at 28 days. The ability of the BFAG matrix to contain 30wt.% PS was evaluated using a waste extraction test (WET). The leaching behavior of heavy metals from the BFAG matrix was assessed with three aggressive leachants: sodium citrate, sodium acetate, and synthetic acid rain. Results showed that, under exposure to these leachants, the leached concentrations of Cr, Fe, and Zn from samples with the SiO2/Al2O3 ratio of 3:1 were lower than those from samples with the 2:1 ratio, with concentrations ranging from 0.32-1.73, 3.07-6.67, and 152-284 mg/L, respectively. Despite exposure to harsh conditions, the BFAG matrix effectively immobilized over 99% for Cr and Fe and Zn, except when exposed to sodium citrate which only retained 98.5% of Zn. BFAG can be used to treat heavy metal and heavy metal-contaminated sludge. This matrix reduces environmental exposure, thereby decreasing heavy metal leaching into the environment before safe disposal in landfills. BFAG can also be used as a cement substitute in the solidified process, which lowers treatment costs and reduces cement consumption. It can decrease carbon dioxide emissions from cement production. © 2025, Faculty of Environment and Resource Studies,Mahidol University. All rights reserved.",fly-ash,prediction,I,waste-valorization;durability,lab-prediction,N,N,N,N,N,N,N,N,*** NO ML/AI ANYWHERE IN ABSTRACT *** purely experimental leaching study. Candidate false positive for the corpus. T/P/D coded as floor values only so the row is not blank.
RC09,2-s2.0-105030153533,10.1016/j.mtcomm.2026.114833,2026,Materials Today Communications,Toward a glass-box framework: Interpretable and statistically validated machine learning for geopolymer concrete strength prediction,"The complex, non-linear interactions between mix parameters hinder the reliable design of geopolymer concrete (GPC), a sustainable alternative to Ordinary Portland Cement. This study addresses this by establishing a high-fidelity, interpretable machine learning framework to predict compressive strength. An Extreme Gradient Boosting (XGBoost) model was developed using a curated database of 1470 mix designs and optimized via randomized cross-validation. The model achieved exceptional accuracy on a test set (R2=0.95, RMSE =3.40 MPa, MAE =2.04 MPa), maintaining strong performance across low-to-high strength ranges (15-102 MPa). Novelty lies in a rigorous, multi-tiered validation and interpretability framework. Statistical diagnostics confirmed distributional reliability, while minimal performance degradation (∼4.11%) validated strong generalization across diverse chemistries. Furthermore, SHapley Additive exPlanations (SHAP) analysis transformed the model into a transparent “glass-box” tool. SHAP identified curing time, GGBFS content, and NaOH molarity as primary positive drivers, establishing “extra water” as the most detrimental factor-aligning outputs with geopolymerization kinetics. This framework delivers statistically validated insights to streamline mix design, reduce experimental burden, and accelerate sustainable GPC adoption. © 2026 The Author(s).",mixed/other-AAM,prediction,I,none-explicit,lab-prediction,Y,N,N,N,N,N,Y,N,"GGBFS named but 'diverse chemistries' implies mixed database. 'Generalization across diverse chemistries' (4.11% degradation) read as train/test degradation not true OOD -> N, borderline. SHAP aligned with geopolymerization kinetics -> physical_consistency Y."
RC10,2-s2.0-105034262038,10.1016/j.istruc.2025.110896,2026,Structures,Prediction of mechanical strength and performance of alkali-activated binders concrete using optimized machine learning with partial dependence plot,"Alkali-activated binders have been utilized extensively since they are environmentally friendly and low-carbon products. Alkali-activated binder (AAB) concrete design relies significantly on two key parameters: Tensile strength and compressive strength. This research applied four machine learning models, including the CatBoost algorithm, XGB algorithm, Extra Trees algorithm, and LGBM algorithm, for predicting the compressive and splitting tensile strength of alkali-activated binder concrete. In addition, SHapley Additive Explanations (SHAP) analysis was conducted, offering a novel approach for interpreting model predictions by quantifying the influence of each input parameter on CS and TS. Alongside SHAP, PDP analysis using machine learning models shows how the content of every input variable impacts the CS and TS of AAB concrete. It is observed that machine learning models show better prediction performance where Values above 0.971, 0.8842 and 0.9343 at the training, testing and validation phases, respectively, for CS of AAB concrete. The RMSE values for all models were found to be below 3.1413, 4.7050, and 4.5282 at the training, testing, and validation phases, respectively, for CS. On the other hand, for the prediction of TS, the values of machine learning models were found to be 0.9344, 0.900, and 0.9767 at the validation, testing, and training phases, respectively. The RMSE value found for all models during training, testing, and validation was below 0.2894, 0.5741, and 0.4738, respectively. A Partial Dependence Plot (PDP) provides a more intuitive way to understand the relationship between input variables and the output. These findings could be used to design alkali-activated concrete specimens optimally for increased strength in the building construction industry. A user-friendly graphical interface unit has been developed for evaluating the compressive strength (CS) and tensile strength (TS) of alkali-activated binder (AAB) concrete, providing valuable guidance and practical reference for materials engineers in the field of concrete technology. © 2025 Institution of Structural Engineers. Published by Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",mixed/other-AAM,prediction,I,none-explicit,recommendation/decision-support,Y,N,N,N,N,N,N,N,"'Optimized ML' = hyperparameter tuning, not an optimization task. GUI tool delivered for engineers -> decision-support."
